"Category","Annual Mean","5-yr smooth"
"1901",27.74,27.24
"1902",27.02,27.18
"1903",26.62,27.13
"1904",26.9,27.07
"1905",26.87,27.02
"1906",27.32,26.97
"1907",26.92,26.92
"1908",26.94,26.88
"1909",27.35,26.85
"1910",26.67,26.83
"1911",26.85,26.83
"1912",26.64,26.84
"1913",26.35,26.87
"1914",27.18,26.9
"1915",27.47,26.93
"1916",26.59,26.93
"1917",26.52,26.91
"1918",26.91,26.85
"1919",27.68,26.79
"1920",26.13,26.74
"1921",26.79,26.72
"1922",26.66,26.77
"1923",26.79,26.88
"1924",27.31,27.03
"1925",27.08,27.2
"1926",27.17,27.34
"1927",27.53,27.42
"1928",27.98,27.43
"1929",26.94,27.38
"1930",26.9,27.31
"1931",27.5,27.26
"1932",27.22,27.26
"1933",27.84,27.33
"1934",27.3,27.48
"1935",27.44,27.64
"1936",27.91,27.78
"1937",27.62,27.85
"1938",27.55,27.82
"1939",27.93,27.67
"1940",27.82,27.44
"1941",27.16,27.17
"1942",27,26.9
"1943",26.21,26.68
"1944",26.56,26.51
"1945",26.3,26.4
"1946",26.4,26.34
"1947",26.75,26.31
"1948",26.18,26.31
"1949",26.12,26.33
"1950",26.32,26.35
"1951",26.24,26.39
"1952",26.83,26.43
"1953",26.34,26.47
"1954",26.49,26.52
"1955",26.64,26.56
"1956",26.38,26.6
"1957",26.6,26.62
"1958",27,26.63
"1959",26.27,26.63
"1960",27.04,26.61
"1961",25.94,26.58
"1962",26.77,26.55
"1963",27.03,26.53
"1964",26.04,26.52
"1965",26.53,26.52
"1966",26.98,26.54
"1967",26.02,26.57
"1968",26.4,26.61
"1969",27.38,26.65
"1970",26.65,26.7
"1971",26.3,26.75
"1972",26.76,26.81
"1973",27.24,26.87
"1974",26.81,26.95
"1975",26.96,27.02
"1976",27.44,27.11
"1977",26.76,27.19
"1978",27.12,27.28
"1979",27.73,27.36
"1980",27.69,27.43
"1981",27.46,27.49
"1982",27.21,27.54
"1983",27.16,27.57
"1984",27.9,27.57
"1985",27.76,27.56
"1986",27.43,27.52
"1987",27.66,27.46
"1988",27.3,27.41
"1989",27,27.36
"1990",27.78,27.32
"1991",27.49,27.3
"1992",26.71,27.31
"1993",27.67,27.33
"1994",27.2,27.38
"1995",27.22,27.44
"1996",27.7,27.52
"1997",27.75,27.61
"1998",27.91,27.71
"1999",27.85,27.8
"2000",27.66,27.88
"2001",27.8,27.93
"2002",28,27.98
"2003",28,28.02
"2004",28.13,28.05
"2005",28.32,28.1
"2006",27.98,28.16
"2007",27.92,28.22
"2008",28.19,28.29
"2009",28.69,28.35
"2010",29.14,28.4
"2011",27.96,28.42
"2012",28.16,28.41
"2013",28.27,28.38
"2014",28.07,28.33
"2015",28.43,28.28
"2016",28.49,28.21
"2017",28.21,28.14
"2018",28.16,28.08
"2019",28.03,28.01
"2020",27.42,27.94
"2021",28.17,27.87